Month,Year,Citation,PubMed ID,DOI
1,2024,"DL Gisch, M Brennan, BB Lake, J Basta, MS Keller, R Melo Ferreira, S Akilesh, R Ghag, C Lu, YH Cheng, KS Collins, SV Parikh, BH Rovin, L Robbins, L Stout, KY Conklin, D Diep, B Zhang, A Knoten, D Barwinska, M Asghari, AR Sabo, MJ Ferkowicz, TA Sutton, KJ Kelly, IH De Boer, SE Rosas, K Kiryluk, JB Hodgin, F Alakwaa, S Winfree, N Jefferson, A Türkmen, JP Gaut, N Gehlenborg, CL Phillips, TM El-Achkar, PC Dagher, T Hato, K Zhang, J Himmelfarb, M Kretzler, S Mollah, the Kidney Precision Medicine Project (KPMP), B Lake, A Morales, I Stillman, S Lecker, S Bogen, A Verma, G Yu, I Schmidt, J Henderson, L Beck, P Yadati, S Waikar, AA Amodu, S Maikhor, T Ilori, MR Colona, A Weins, G McMahon, N Hacohen, A Greka, JL Marshall, PJ Hoover, VS Viswanathan, D Crawford, M Aulisio, W Bush, Y Chen, A Madabhushi, C O’Malley, C Gadegbeku, D Sendrey, E Poggio, J O’Toole, J Sedor, J Taliercio, L Bush, L Herlitz, E Palmer, J Nguyen, K Spates-Harden, L Cooperman, S Jolly, C Vinovskis, A Bomback, J Barasch, K Kiryluk, P Appelbaum, V D’Agati, C Berrouet, K Mehl, M Sabatello, N Shang, O Balderes, PA Canetta, S Kudose, J De Pinho Gonçalves, L Migas, R Van De Plas, R Lardenoije, L Barisoni, H Rennke, A Verdoes, A Sabo, DL Gisch, J Williams, K Kelly, K Dunn, M Eadon, M Ferkowicz, P Dagher, S Winfree, S Bledsoe, S Wofford, T Sutton, W Bowen, A Slade, E Record, Y Cheng, Y Jain, B Herr, E Quardokus, A Wang, CPC Villalobos, C Parikh, M Atta, S Menez, Y Wen, A Xu, L Bernard, C Johansen, S Chen, S Rosas, I Donohoe, J Sun, R Knight, A Shpigel, J Bebiak, J Saul, J Ardayfio, R Koewler, R Pinkeney, T Campbell, E Azeloglu, G Nadkarni, J He, J Tokita, K Campbell, M Patel, S Lefferts, SR Iyengar, S Ward, S Coca, C He, Y Xiong, P Prasad, B Rovin, JP Shapiro, S Parikh, SM Madhavan, J Lukowski, D Velickovic, L Pasa-Tolic, G Oliver, O Troyanskaya, R Sealfon, W Mao, A Wong, A Pollack, Y Goltsev, B Ginley, B Lutnick, G Nolan, K Anjani, T Mukatash, ZG Laszik, B Campos, B Thajudeen, D Beyda, E Bracamonte, F Brosius, G Woodhead, K Mendoza, N Marquez, R Scott, R Tsosie, M Saunders, A Rike, ES Woodle, PJ Lee, RR Alloway, T Shi, E Hsieh, J Kendrick, J Thurman, J Wrobel, L Pyle, P Bjornstad, N Lucarelli, P Sarder, A Renteria, A Ricardo, A Srivastava, D Redmond, E Carmona-Powell, J Bui, J Lash, M Fox, N Meza, R Gaba, S Setty, T Kelly, C Lienczewski, D Demeke, E Otto, H Ascani, J Hodgin, J Schaub, J Hartman, L Mariani, M Bitzer, M Rose, N Bonevich, N Conser, P McCown, R Dull, R Menon, R Reamy, S Eddy, U Balis, V Blanc, V Nair, YO He, Z Wright, B Steck, J Luo, R Frey, A Coleman, D Henderson-Brown, J Berge, ML Caramori, O Adeyi, P Nachman, S Safadi, S Flanagan, S Ma, S Klett, S Wolf, T Harindhanavudhi, V Rao, A Mottl, A Froment, E Zeitler, P Bream, S Kelley, M Rosengart, M Elder, P Palevsky, R Murugan, DE Hall, F Bender, J Winters, JA Kellum, M Gilliam, M Tublin, R Tan, G Zhang, K Sharma, M Venkatachalam, A Hendricks, A Kermani, J Torrealba, M Vazquez, N Wang, Q Cai, RT Miller, S Ma, S Hedayati, A Hoofnagle, A Wangperawong, A Berglund, AL Dighe, B Young, B Larson, B Berry, C Alpers, C Limonte, C Stutzke, G Roberts, I De Boer, J Snyder, J Phuong, J Carson, K Rezaei, K Tuttle, K Brown, K Blank, N Sarkisova, N Jefferson, R McClelland, S Mooney, Y Nam, A Wilcox, C Park, F Dowd, K Williams, SM Grewenow, S Daniel, S Shankland, A Pamreddy, H Ye, R Montellano, S Bansal, A Pillai, D Zhang, H Park, J Patel, K Sambandam, M Basit, N Wen, OW Moe, RD Toto, SC Lee, K Sharman, RM Caprioli, A Fogo, J Allen, J Spraggins, K Djambazova, M De Caestecker, M Dufresne, M Farrow, A Vijayan, B Minor, G Nwanne, J Gaut, K Conlon, M Kaushal, SM Diettman, AM Victoria Castro, D Moledina, FP Wilson, G Moeckel, L Cantley, M Shaw, V Kakade, T Arora, S Jain, M Rauchman, MT Eadon, ""The chromatin landscape of healthy and injured cell types in the human kidney"", Nature Communications 15(1):433 (2024).",38199997,10.1038/s41467-023-44467-6
1,2024,"L Taing, A Dandawate, S L’Yi, N Gehlenborg, M Brown, CA Meyer, ""Cistrome Data Browser: integrated search, analysis and visualization of chromatin data"", Nucleic Acids Research 52(D1):D61-D66 (2024).",37971305,10.1093/nar/gkad1069
,2024,"T Manz, N Abdennur, N Gehlenborg, ""anywidget: reusable widgets for interactive analysis and visualization in computational notebooks"", Journal of Open Source Software 9(102):6939 (2024).",,10.21105/joss.06939
,2024,"T Manz, F Lekschas, E Greene, G Finak, N Gehlenborg, ""A General Framework for Comparing Embedding Visualizations Across Class-Label Hierarchies"", IEEE Transactions on Visualization and Computer Graphics 1-11 (2024).",39255153,10.1109/TVCG.2024.3456370
,2024,"S L'Yi, A van den Brandt, E Adams, HN Nguyen, N Gehlenborg, ""Learnable and Expressive Visualization Authoring through Blended Interfaces"", IEEE Transactions on Visualization and Computer Graphics 1-11 (2024).",39255109,10.1109/TVCG.2024.3456598
,2024,"E Mörth, K Sidak, Z Maliga, T Möller, N Gehlenborg, P Sorger, H Pfister, J Beyer, R Krüger, ""Cell2Cell: Explorative Cell Interaction Analysis in Multi-Volumetric Tissue Data"", IEEE Transactions on Visualization and Computer Graphics 1-11 (2024).",39255170,10.1109/TVCG.2024.3456406
,2024,"A Van Den Brandt, S L'Yi, HN Nguyen, A Vilanova, N Gehlenborg, ""Understanding Visualization Authoring Techniques for Genomics Data in the Context of Personas and Tasks"", IEEE Transactions on Visualization and Computer Graphics 1-11 (2024).",39288066,10.1109/TVCG.2024.3456298
10,2023,"Q Wang, X Liu, MQ Liang, S L’Yi, N Gehlenborg, ""Enabling Multimodal User Interactions for Genomics Visualization Creation"", 2023 IEEE Visualization and Visual Analytics (VIS) (2023).",,10.1109/VIS54172.2023.00031
10,2023,"S L’Yi, Q Wang, N Gehlenborg, ""The Role of Visualization in Genomics Data Analysis Workflows: The Interviews"", 2023 IEEE Visualization and Visual Analytics (VIS) (2023).",,10.1109/VIS54172.2023.00029
10,2023,"Z Chen, C Zhang, Q Wang, J Troidl, S Warchol, J Beyer, N Gehlenborg, H Pfister, ""Beyond Generating Code: Evaluating GPT on a Data Visualization Course"", 2023 IEEE VIS Workshop on Visualization Education, Literacy, and Activities (EduVis) (2023).",,10.1109/EduVis60792.2023.00009
8,2023,"D Nakikj, D Kreda, N Gehlenborg, ""Alerts and Collections for Automating Patients’ Sensemaking and Organizing of Their Electronic Health Record Data for Reflection, Planning, and Clinical Visits: Qualitative Research-Through-Design Study"", JMIR Human Factors 10:e41552 (2023).",37603400,10.2196/41552
4,2023,"D Nakikj, D Kreda, N Gehlenborg, ""New Ways for Patients to Make Sense of Their Electronic Health Record Data Using the Discovery Web Application: Think-Aloud Evaluation Study"", JMIR Formative Research 7:e41346 (2023).",37010887,10.2196/41346
4,2023,"Q Wang, S L'Yi, N Gehlenborg, ""DRAVA: Aligning Human Concepts with Machine Learning Latent Dimensions for the Visual Exploration of Small Multiples"", Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems (2023).",38074525,10.1145/3544548.3581127
2,2023,"S L'Yi, MS Keller, A Dandawate, L Taing, CH Chen, M Brown, CA Meyer, N Gehlenborg, ""Cistrome Explorer: an interactive visual analysis tool for large-scale epigenomic data"", Bioinformatics 39(2):btad018 (2023).",36688700,10.1093/bioinformatics/btad018
1,2023,"B Moal, A Orieux, T Ferté, A Neuraz, GA Brat, P Avillach, CL Bonzel, T Cai, K Cho, S Cossin, R Griffier, DA Hanauer, C Haverkamp, YL Ho, C Hong, MR Hutch, JG Klann, TT Le, NHW Loh, Y Luo, A Makoudjou, M Morris, DL Mowery, KL Olson, LP Patel, MJ Samayamuthu, FJ Sanz Vidorreta, ER Schriver, P Schubert, G Verdy, S Visweswaran, X Wang, GM Weber, Z Xia, W Yuan, HG Zhang, D Zöller, IS Kohane, The Consortium for Clinical Characterization of COVID-19 by EHR (4CE), A Boyer, V Jouhet, ""Acute respiratory distress syndrome after SARS-CoV-2 infection on young adult population: International observational federated study based on electronic health records through the 4CE consortium"", PLOS ONE 18(1):e0266985 (2023).",36598895,10.1371/journal.pone.0266985
1,2023,"T Manz, S L’Yi, N Gehlenborg, ""Gos: a declarative library for interactive genomics visualization in Python"", Bioinformatics 39(1):btad050 (2023).",36688709,10.1093/bioinformatics/btad050
1,2023,"S L'Yi and N Gehlenborg, ""Multi-View Design Patterns and Responsive Visualization for Genomics Data"", IEEE Transactions on Visualization and Computer Graphics 29(1):559-569 (2023).",36166553,10.1109/TVCG.2022.3209398
1,2023,"Q Wang, K Huang, P Chandak, M Zitnik, N Gehlenborg, ""Extending the Nested Model for User-Centric XAI: A Design Study on GNN-based Drug Repurposing"", IEEE Transactions on Visualization and Computer Graphics 29(1):1266-1276 (2023).",,10.1109/TVCG.2022.3209435
1,2023,"F Cheng, MS Keller, H Qu, N Gehlenborg, Q Wang, ""Polyphony: an Interactive Transfer Learning Framework for Single-Cell Data Analysis"", IEEE Transactions on Visualization and Computer Graphics 29(1):591-601 (2023).",36155452,10.1109/TVCG.2022.3209408
